회사명,직무,상황,지역,작성일,총점,승진 기회 및 가능성,복지 및 급여,업무와 삶의 균형,사내문화,경영진,총평,장점,단점,바라는점
신용보증기금,의약,"
          현직원
      ",대구,2023. 11,100%,20%,100%,20%,40%,20%,"
BEST
      ""대구본사 근무는 최악 영업점 근무는 쏘쏘""
    ",이런 저런 연봉이동 좋아하는 사람들에겐 좋음이동 싫어하는 분들은 안좋음,앞으로는 승진이 힘들어 질것이고2년마다 어디로 끌려갈지 모름,이동인사에 개선할 수 있는 방안을 주는 것이 좋을듯
신용보증기금,서비스/고객지원,"
          전직원
      ",광주,2023. 11,60%,40%,60%,60%,60%,60%,"
BEST
      ""친절하고 기회가 있는 좋은 공기업이라고 생각합니다.""
    ",사람들이 다 친절하고 공부할 기회가 많은 것 같습니다.,공기업문화여서 조용한 분위기가 크다고 생각합니다....,친절하고 좋은 경험이었습니다. 더 나은 기업이 될 수 있기를 바라겠습니다.
신용보증기금,금융/재무,"
          전직원
      ",서울,2023. 11,100%,60%,80%,100%,100%,60%,"
BEST
      ""순환근무만 오케이라면 무난하게 다닐 수 있음""
    ",안정적인 고용/의외로 순환근무가 환기가 됨/연봉이 나쁘지 않음/사람들이 무난하게 둥글함,순환근무 순환근무 그리고 순환근무...업무적으로 현타올때가 많음 각양의 대표자들을 만날때,갑자기 어디 떨구는 것은 조금ㅠ 지양해주셨으면..
신용보증기금,서비스/고객지원,"
          전직원
      ",경남,2023. 11,100%,60%,60%,100%,80%,80%,"
BEST
      ""무난하게 다닐 수 있었고 조용한 분위기라 편했습니다.""
    ","학생의 입장일때는 조직의 구조, 기업 문화 등등 실전으로 보고 배우는것들이 좋았습니다.",다소 딱딱하고 수직적인 분위기라 자유롭지 못하다는 것이 약간의 단점이라 생각합니다.,딱히 바라는건 없습니다. 충분히 휼륭한 회사라 생각합니다.
신용보증기금,금융/재무,"
          전직원
      ",경기,2023. 11,60%,20%,60%,20%,60%,60%,"
BEST
      ""업무량이 정말 많습니다 왜 인턴계의 아오지라고 불리는지 경험해보시면 아실겁니다 ㅎㅎ 그래도 직원분들은 좋으세요 진상손님들은 정말 힘들긴한데 보람은 있습니다""
    ","실제로 인턴이어도 업무를 직접 책임지고 해볼 수 있다는점이 장점입니다 인턴이라도 보증만기 연장,갱신같은거 직접 고객이랑 연락하고 서류요청하고 자서받고 도장받고 실무경험 많이 할 수 있어요업무량이 많긴하지만 보람있습니다",업무량이 정말 많습니다 3달간 처리한 업체만 100개 훌쩍 넘습니다 그리고 진상 손님들이 많습니다 보증기관이 보증서주면 고마운 마음이 드는게 정상일텐데 무슨 당연한 권리인것마냥 갑질하는 사장님들이 있습니다,직원들 업무량이 정말많은데 진상 민원까지 시달리면 힘듭니다 직원들을 악성민원에서 보호해주시길
신용보증기금,의약,"
          현직원
      ",대구,2023. 11,100%,20%,100%,20%,40%,20%,"
BEST
      ""대구본사 근무는 최악 영업점 근무는 쏘쏘""
    ",이런 저런 연봉이동 좋아하는 사람들에겐 좋음이동 싫어하는 분들은 안좋음,앞으로는 승진이 힘들어 질것이고2년마다 어디로 끌려갈지 모름,이동인사에 개선할 수 있는 방안을 주는 것이 좋을듯
신용보증기금,서비스/고객지원,"
          전직원
      ",광주,2023. 11,60%,40%,60%,60%,60%,60%,"
BEST
      ""친절하고 기회가 있는 좋은 공기업이라고 생각합니다.""
    ",사람들이 다 친절하고 공부할 기회가 많은 것 같습니다.,공기업문화여서 조용한 분위기가 크다고 생각합니다....,친절하고 좋은 경험이었습니다. 더 나은 기업이 될 수 있기를 바라겠습니다.
신용보증기금,금융/재무,"
          전직원
      ",서울,2023. 11,100%,60%,80%,100%,100%,60%,"
BEST
      ""순환근무만 오케이라면 무난하게 다닐 수 있음""
    ",안정적인 고용/의외로 순환근무가 환기가 됨/연봉이 나쁘지 않음/사람들이 무난하게 둥글함,순환근무 순환근무 그리고 순환근무...업무적으로 현타올때가 많음 각양의 대표자들을 만날때,갑자기 어디 떨구는 것은 조금ㅠ 지양해주셨으면..
신용보증기금,서비스/고객지원,"
          전직원
      ",경남,2023. 11,100%,60%,60%,100%,80%,80%,"
BEST
      ""무난하게 다닐 수 있었고 조용한 분위기라 편했습니다.""
    ","학생의 입장일때는 조직의 구조, 기업 문화 등등 실전으로 보고 배우는것들이 좋았습니다.",다소 딱딱하고 수직적인 분위기라 자유롭지 못하다는 것이 약간의 단점이라 생각합니다.,딱히 바라는건 없습니다. 충분히 휼륭한 회사라 생각합니다.
신용보증기금,금융/재무,"
          전직원
      ",경기,2023. 11,60%,20%,60%,20%,60%,60%,"
BEST
      ""업무량이 정말 많습니다 왜 인턴계의 아오지라고 불리는지 경험해보시면 아실겁니다 ㅎㅎ 그래도 직원분들은 좋으세요 진상손님들은 정말 힘들긴한데 보람은 있습니다""
    ","실제로 인턴이어도 업무를 직접 책임지고 해볼 수 있다는점이 장점입니다 인턴이라도 보증만기 연장,갱신같은거 직접 고객이랑 연락하고 서류요청하고 자서받고 도장받고 실무경험 많이 할 수 있어요업무량이 많긴하지만 보람있습니다",업무량이 정말 많습니다 3달간 처리한 업체만 100개 훌쩍 넘습니다 그리고 진상 손님들이 많습니다 보증기관이 보증서주면 고마운 마음이 드는게 정상일텐데 무슨 당연한 권리인것마냥 갑질하는 사장님들이 있습니다,직원들 업무량이 정말많은데 진상 민원까지 시달리면 힘듭니다 직원들을 악성민원에서 보호해주시길
신용보증기금,의약,"
          현직원
      ",대구,2023. 11,100%,20%,100%,20%,40%,20%,"
BEST
      ""대구본사 근무는 최악 영업점 근무는 쏘쏘""
    ",이런 저런 연봉이동 좋아하는 사람들에겐 좋음이동 싫어하는 분들은 안좋음,앞으로는 승진이 힘들어 질것이고2년마다 어디로 끌려갈지 모름,이동인사에 개선할 수 있는 방안을 주는 것이 좋을듯
신용보증기금,서비스/고객지원,"
          전직원
      ",광주,2023. 11,60%,40%,60%,60%,60%,60%,"
BEST
      ""친절하고 기회가 있는 좋은 공기업이라고 생각합니다.""
    ",사람들이 다 친절하고 공부할 기회가 많은 것 같습니다.,공기업문화여서 조용한 분위기가 크다고 생각합니다....,친절하고 좋은 경험이었습니다. 더 나은 기업이 될 수 있기를 바라겠습니다.
신용보증기금,금융/재무,"
          전직원
      ",서울,2023. 11,100%,60%,80%,100%,100%,60%,"
BEST
      ""순환근무만 오케이라면 무난하게 다닐 수 있음""
    ",안정적인 고용/의외로 순환근무가 환기가 됨/연봉이 나쁘지 않음/사람들이 무난하게 둥글함,순환근무 순환근무 그리고 순환근무...업무적으로 현타올때가 많음 각양의 대표자들을 만날때,갑자기 어디 떨구는 것은 조금ㅠ 지양해주셨으면..
신용보증기금,서비스/고객지원,"
          전직원
      ",경남,2023. 11,100%,60%,60%,100%,80%,80%,"
BEST
      ""무난하게 다닐 수 있었고 조용한 분위기라 편했습니다.""
    ","학생의 입장일때는 조직의 구조, 기업 문화 등등 실전으로 보고 배우는것들이 좋았습니다.",다소 딱딱하고 수직적인 분위기라 자유롭지 못하다는 것이 약간의 단점이라 생각합니다.,딱히 바라는건 없습니다. 충분히 휼륭한 회사라 생각합니다.
신용보증기금,금융/재무,"
          전직원
      ",경기,2023. 11,60%,20%,60%,20%,60%,60%,"
BEST
      ""업무량이 정말 많습니다 왜 인턴계의 아오지라고 불리는지 경험해보시면 아실겁니다 ㅎㅎ 그래도 직원분들은 좋으세요 진상손님들은 정말 힘들긴한데 보람은 있습니다""
    ","실제로 인턴이어도 업무를 직접 책임지고 해볼 수 있다는점이 장점입니다 인턴이라도 보증만기 연장,갱신같은거 직접 고객이랑 연락하고 서류요청하고 자서받고 도장받고 실무경험 많이 할 수 있어요업무량이 많긴하지만 보람있습니다",업무량이 정말 많습니다 3달간 처리한 업체만 100개 훌쩍 넘습니다 그리고 진상 손님들이 많습니다 보증기관이 보증서주면 고마운 마음이 드는게 정상일텐데 무슨 당연한 권리인것마냥 갑질하는 사장님들이 있습니다,직원들 업무량이 정말많은데 진상 민원까지 시달리면 힘듭니다 직원들을 악성민원에서 보호해주시길
신용보증기금,의약,"
          현직원
      ",대구,2023. 11,100%,20%,100%,20%,40%,20%,"
BEST
      ""대구본사 근무는 최악 영업점 근무는 쏘쏘""
    ",이런 저런 연봉이동 좋아하는 사람들에겐 좋음이동 싫어하는 분들은 안좋음,앞으로는 승진이 힘들어 질것이고2년마다 어디로 끌려갈지 모름,이동인사에 개선할 수 있는 방안을 주는 것이 좋을듯
신용보증기금,서비스/고객지원,"
          전직원
      ",광주,2023. 11,60%,40%,60%,60%,60%,60%,"
BEST
      ""친절하고 기회가 있는 좋은 공기업이라고 생각합니다.""
    ",사람들이 다 친절하고 공부할 기회가 많은 것 같습니다.,공기업문화여서 조용한 분위기가 크다고 생각합니다....,친절하고 좋은 경험이었습니다. 더 나은 기업이 될 수 있기를 바라겠습니다.
신용보증기금,금융/재무,"
          전직원
      ",서울,2023. 11,100%,60%,80%,100%,100%,60%,"
BEST
      ""순환근무만 오케이라면 무난하게 다닐 수 있음""
    ",안정적인 고용/의외로 순환근무가 환기가 됨/연봉이 나쁘지 않음/사람들이 무난하게 둥글함,순환근무 순환근무 그리고 순환근무...업무적으로 현타올때가 많음 각양의 대표자들을 만날때,갑자기 어디 떨구는 것은 조금ㅠ 지양해주셨으면..
신용보증기금,서비스/고객지원,"
          전직원
      ",경남,2023. 11,100%,60%,60%,100%,80%,80%,"
BEST
      ""무난하게 다닐 수 있었고 조용한 분위기라 편했습니다.""
    ","학생의 입장일때는 조직의 구조, 기업 문화 등등 실전으로 보고 배우는것들이 좋았습니다.",다소 딱딱하고 수직적인 분위기라 자유롭지 못하다는 것이 약간의 단점이라 생각합니다.,딱히 바라는건 없습니다. 충분히 휼륭한 회사라 생각합니다.
신용보증기금,금융/재무,"
          전직원
      ",경기,2023. 11,60%,20%,60%,20%,60%,60%,"
BEST
      ""업무량이 정말 많습니다 왜 인턴계의 아오지라고 불리는지 경험해보시면 아실겁니다 ㅎㅎ 그래도 직원분들은 좋으세요 진상손님들은 정말 힘들긴한데 보람은 있습니다""
    ","실제로 인턴이어도 업무를 직접 책임지고 해볼 수 있다는점이 장점입니다 인턴이라도 보증만기 연장,갱신같은거 직접 고객이랑 연락하고 서류요청하고 자서받고 도장받고 실무경험 많이 할 수 있어요업무량이 많긴하지만 보람있습니다",업무량이 정말 많습니다 3달간 처리한 업체만 100개 훌쩍 넘습니다 그리고 진상 손님들이 많습니다 보증기관이 보증서주면 고마운 마음이 드는게 정상일텐데 무슨 당연한 권리인것마냥 갑질하는 사장님들이 있습니다,직원들 업무량이 정말많은데 진상 민원까지 시달리면 힘듭니다 직원들을 악성민원에서 보호해주시길
신용보증기금,의약,"
          현직원
      ",대구,2023. 11,100%,20%,100%,20%,40%,20%,"
BEST
      ""대구본사 근무는 최악 영업점 근무는 쏘쏘""
    ",이런 저런 연봉이동 좋아하는 사람들에겐 좋음이동 싫어하는 분들은 안좋음,앞으로는 승진이 힘들어 질것이고2년마다 어디로 끌려갈지 모름,이동인사에 개선할 수 있는 방안을 주는 것이 좋을듯
신용보증기금,서비스/고객지원,"
          전직원
      ",광주,2023. 11,60%,40%,60%,60%,60%,60%,"
BEST
      ""친절하고 기회가 있는 좋은 공기업이라고 생각합니다.""
    ",사람들이 다 친절하고 공부할 기회가 많은 것 같습니다.,공기업문화여서 조용한 분위기가 크다고 생각합니다....,친절하고 좋은 경험이었습니다. 더 나은 기업이 될 수 있기를 바라겠습니다.
신용보증기금,금융/재무,"
          전직원
      ",서울,2023. 11,100%,60%,80%,100%,100%,60%,"
BEST
      ""순환근무만 오케이라면 무난하게 다닐 수 있음""
    ",안정적인 고용/의외로 순환근무가 환기가 됨/연봉이 나쁘지 않음/사람들이 무난하게 둥글함,순환근무 순환근무 그리고 순환근무...업무적으로 현타올때가 많음 각양의 대표자들을 만날때,갑자기 어디 떨구는 것은 조금ㅠ 지양해주셨으면..
신용보증기금,서비스/고객지원,"
          전직원
      ",경남,2023. 11,100%,60%,60%,100%,80%,80%,"
BEST
      ""무난하게 다닐 수 있었고 조용한 분위기라 편했습니다.""
    ","학생의 입장일때는 조직의 구조, 기업 문화 등등 실전으로 보고 배우는것들이 좋았습니다.",다소 딱딱하고 수직적인 분위기라 자유롭지 못하다는 것이 약간의 단점이라 생각합니다.,딱히 바라는건 없습니다. 충분히 휼륭한 회사라 생각합니다.
